tasks,type,matrix,time
1,openmp,matrices/A_n1e6_d4.mtx,7.86519
2,openmpi,matrices/A_n1e6_d4.mtx,4.88392
2,openmp,matrices/A_n1e6_d4.mtx,3.88101
1,openmpi,matrices/A_n1e6_d4.mtx,9.23437
4,openmp,matrices/A_n1e6_d4.mtx,1.96341
6,openmp,matrices/A_n1e6_d4.mtx,1.60766
10,openmp,matrices/A_n1e6_d4.mtx,0.843803
8,openmp,matrices/A_n1e6_d4.mtx,1.23606
12,openmp,matrices/A_n1e6_d4.mtx,0.966859
14,openmp,matrices/A_n1e6_d4.mtx,0.887724
18,openmp,matrices/A_n1e6_d4.mtx,0.81266
16,openmp,matrices/A_n1e6_d4.mtx,0.862878
20,openmp,matrices/A_n1e6_d4.mtx,0.469921
8,openmpi,matrices/A_n1e6_d4.mtx,1.58597
6,openmpi,matrices/A_n1e6_d4.mtx,2.10801
2,openmpi,matrices/A_n1e6_d4.mtx,4.69488
4,openmpi,matrices/A_n1e6_d4.mtx,2.84863
1,openmpi,matrices/A_n1e6_d4.mtx,8.61591
10,openmp,matrices/A_n2e6_d4.mtx,1.90738
10,openmp,matrices/A_n3e6_d4.mtx,2.91375
8,openmpi,matrices/A_n2e6_d4.mtx,3.2141
1,openmp,matrices/A_n2e6_d4.mtx,12.8815
8,openmpi,matrices/A_n3e6_d4.mtx,4.87918
1,openmp,matrices/A_n3e6_d4.mtx,20.9507
8,openmpi,matrices/A_n5e6_d4.mtx,8.45631
8,openmp,matrices/A_n2e6_d4.mtx,2.60164
2,openmp,matrices/A_n2e6_d4.mtx,7.14181
8,openmp,matrices/A_n3e6_d4.mtx,3.93523
2,openmp,matrices/A_n3e6_d4.mtx,11.2806
8,openmp,matrices/A_n5e6_d4.mtx,6.84833
6,openmpi,matrices/A_n2e6_d4.mtx,4.17016
2,openmp,matrices/A_n5e6_d4.mtx,21.3048
6,openmpi,matrices/A_n3e6_d4.mtx,6.40315
1,openmpi,matrices/A_n2e6_d4.mtx,18.6429
6,openmpi,matrices/A_n5e6_d4.mtx,11.1087
1,openmpi,matrices/A_n3e6_d4.mtx,28.4955
6,openmp,matrices/A_n2e6_d4.mtx,3.6113
6,openmp,matrices/A_n3e6_d4.mtx,6.68915
1,openmpi,matrices/A_n5e6_d4.mtx,44.2473
6,openmp,matrices/A_n5e6_d4.mtx,8.31354
4,openmpi,matrices/A_n2e6_d4.mtx,5.86815
4,openmpi,matrices/A_n3e6_d4.mtx,8.18237
4,openmp,matrices/A_n2e6_d4.mtx,4.05354
4,openmpi,matrices/A_n5e6_d4.mtx,14.4578
4,openmp,matrices/A_n3e6_d4.mtx,5.53683
2,openmpi,matrices/A_n2e6_d4.mtx,10.4574
2,openmpi,matrices/A_n3e6_d4.mtx,14.7375
4,openmp,matrices/A_n5e6_d4.mtx,12.1953
2,openmpi,matrices/A_n5e6_d4.mtx,23.6956
14,openmpi,matrices/A_n1e6_d4.mtx,1.14349
16,openmpi,matrices/A_n1e6_d4.mtx,1.1018
12,openmpi,matrices/A_n1e6_d4.mtx,1.17301
10,openmpi,matrices/A_n1e6_d4.mtx,1.45517
18,openmp,matrices/A_n2e6_d4.mtx,1.72811
18,openmp,matrices/A_n3e6_d4.mtx,2.73982
18,openmp,matrices/A_n5e6_d4.mtx,4.64645
16,openmpi,matrices/A_n2e6_d4.mtx,2.23944
16,openmpi,matrices/A_n3e6_d4.mtx,3.33756
16,openmpi,matrices/A_n5e6_d4.mtx,5.86602
16,openmp,matrices/A_n2e6_d4.mtx,1.69754
16,openmp,matrices/A_n3e6_d4.mtx,2.50907
16,openmp,matrices/A_n5e6_d4.mtx,4.71233
14,openmpi,matrices/A_n2e6_d4.mtx,2.30534
14,openmpi,matrices/A_n3e6_d4.mtx,3.46398
14,openmpi,matrices/A_n5e6_d4.mtx,5.94876
14,openmp,matrices/A_n2e6_d4.mtx,1.73051
14,openmp,matrices/A_n3e6_d4.mtx,2.57256
14,openmp,matrices/A_n5e6_d4.mtx,4.63512
12,openmpi,matrices/A_n2e6_d4.mtx,2.3548
12,openmpi,matrices/A_n3e6_d4.mtx,3.4907
12,openmpi,matrices/A_n5e6_d4.mtx,6.10118
12,openmp,matrices/A_n2e6_d4.mtx,1.69107
12,openmp,matrices/A_n3e6_d4.mtx,2.55257
12,openmp,matrices/A_n5e6_d4.mtx,4.63143
10,openmpi,matrices/A_n2e6_d4.mtx,2.95127
10,openmpi,matrices/A_n3e6_d4.mtx,4.32483
10,openmpi,matrices/A_n5e6_d4.mtx,7.40439
